id,location,date,avg_volume,status,predicted_avg_volume
50,Airport Road,1/1/23,287.75,Normal,
322,Airport Road,1/1/23,285.444,Normal,
973,Airport Road,1/1/23,389.947,High,
1688,Airport Road,1/1/23,392.827,High,
2713,Airport Road,1/1/23,392.827,High,
4197,Airport Road,1/1/23,392.827,High,
144,Airport Road,1/2/23,366.636,High,
702,Airport Road,1/2/23,392.769,High,
1353,Airport Road,1/2/23,392.769,High,
2236,Airport Road,1/2/23,392.769,High,
3520,Airport Road,1/2/23,392.769,High,
5365,Airport Road,1/2/23,392.769,High,
55,Airport Road,1/3/23,296.667,Normal,
329,Airport Road,1/3/23,293.455,Normal,
980,Airport Road,1/3/23,293.455,Normal,
1696,Airport Road,1/3/23,335.25,High,
2722,Airport Road,1/3/23,335.25,High,
4210,Airport Road,1/3/23,335.25,High,
112,Airport Road,1/4/23,502,High,
558,Airport Road,1/4/23,502,High,
1209,Airport Road,1/4/23,502,High,
2027,Airport Road,1/4/23,502,High,
3213,Airport Road,1/4/23,502,High,
4924,Airport Road,1/4/23,502,High,
143,Airport Road,1/5/23,406.818,High,
701,Airport Road,1/5/23,425.462,High,
1352,Airport Road,1/5/23,425.462,High,
2235,Airport Road,1/5/23,425.462,High,
3519,Airport Road,1/5/23,425.462,High,
5364,Airport Road,1/5/23,425.462,High,
153,Airport Road,1/6/23,621.143,High,
749,Airport Road,1/6/23,621.143,High,
1400,Airport Road,1/6/23,621.143,High,
2315,Airport Road,1/6/23,578,High,
3644,Airport Road,1/6/23,578,High,
5553,Airport Road,1/6/23,578,High,
35,Airport Road,1/7/23,557.333,High,
237,Airport Road,1/7/23,557.333,High,
888,Airport Road,1/7/23,557.333,High,
1567,Airport Road,1/7/23,591,High,
2541,Airport Road,1/7/23,591,High,
3970,Airport Road,1/7/23,591,High,
108,Airport Road,1/8/23,255.333,Normal,
542,Airport Road,1/8/23,255.333,Normal,
1193,Airport Road,1/8/23,255.333,Normal,
2005,Airport Road,1/8/23,234.857,Normal,
3183,Airport Road,1/8/23,234.857,Normal,
4879,Airport Road,1/8/23,234.857,Normal,
59,Airport Road,1/9/23,475.714,High,
353,Airport Road,1/9/23,508.375,High,
1004,Airport Road,1/9/23,508.375,High,
1728,Airport Road,1/9/23,503.556,High,
2777,Airport Road,1/9/23,503.556,High,
4301,Airport Road,1/9/23,503.556,High,
86,Airport Road,1/10/23,545.5,High,
443,Airport Road,1/10/23,487.286,High,
1094,Airport Road,1/10/23,487.286,High,
1858,Airport Road,1/10/23,487.286,High,
2967,Airport Road,1/10/23,487.286,High,
4580,Airport Road,1/10/23,487.286,High,
32,Airport Road,1/11/23,282.5,Normal,
225,Airport Road,1/11/23,310.333,High,
876,Airport Road,1/11/23,310.333,High,
1551,Airport Road,1/11/23,310.333,High,
2520,Airport Road,1/11/23,310.333,High,
3935,Airport Road,1/11/23,310.333,High,
100,Airport Road,1/12/23,438.7,High,
512,Airport Road,1/12/23,436.818,High,
1163,Airport Road,1/12/23,436.818,High,
1960,Airport Road,1/12/23,436.818,High,
