id,location,date,avg_volume,status
1,Airport Road,2025-06-18,275.5,Normal
2,University Blvd,2025-06-18,313.0,High
3,Highway 101,2025-06-17,430.0,High
4,Highway 101,2025-06-18,237.0,Normal
5,Downtown,2025-06-18,344.333,High
6,University Blvd,2025-06-17,196.0,Normal
7,Airport Road,2025-06-18,257.083,Normal
8,University Blvd,2025-06-18,269.867,Normal
9,Highway 101,2025-06-17,430.0,High
10,Highway 101,2025-06-18,284.57,Normal
11,Downtown,2025-06-18,260.304,Normal
12,University Blvd,2025-06-17,196.0,Normal
13,Airport Road,2025-06-18,271.248,Normal
14,University Blvd,2025-06-18,264.873,Normal
15,Highway 101,2025-06-17,430.0,High
16,Highway 101,2025-06-18,276.932,Normal
17,Downtown,2025-06-18,266.944,Normal
18,University Blvd,2025-06-17,196.0,Normal
19,Downtown,2023-01-12,550.111,High
20,Main St,2023-01-10,496.667,High
21,Downtown,2023-01-07,505.167,High
22,Highway 101,2023-01-11,352.2,High
23,Bridge,2023-01-25,420.333,High
24,Downtown,2023-01-22,218.2,Normal
25,Bridge,2023-01-18,516.0,High
26,Highway 101,2023-01-25,508.6,High
27,Bridge,2023-01-01,399.333,High
28,Highway 101,2023-01-26,370.667,High
29,Main St,2023-01-05,599.833,High
30,Downtown,2023-01-10,363.125,High
31,Highway 101,2023-01-15,421.636,High
32,Airport Road,2023-01-11,282.5,Normal
33,Highway 101,2023-01-07,448.0,High
34,Airport Road,2023-01-19,582.25,High
35,Airport Road,2023-01-07,557.333,High
36,Airport Road,2025-06-18,271.248,Normal
37,Highway 101,2023-01-06,416.333,High
38,Downtown,2023-01-15,268.5,Normal
39,Highway 101,2023-01-22,392.25,High
40,Main St,2023-01-09,520.625,High
41,Airport Road,2023-01-15,434.0,High
42,Bridge,2023-01-12,387.857,High
43,Bridge,2023-01-03,330.0,High
44,Main St,2023-01-08,496.333,High
45,Highway 101,2023-01-18,456.286,High
46,Airport Road,2023-01-17,366.6,High
47,Airport Road,2023-01-21,522.0,High
48,Highway 101,2023-01-10,417.0,High
49,Airport Road,2023-01-23,394.5,High
50,Airport Road,2023-01-01,287.75,Normal
51,Main St,2023-01-20,486.444,High
52,Bridge,2023-01-24,356.0,High
53,University Blvd,2025-06-18,264.873,Normal
54,Highway 101,2023-01-29,474.0,High
55,Airport Road,2023-01-03,296.667,Normal
56,Highway 101,2023-01-13,401.091,High
57,Main St,2023-01-24,320.778,High
58,Airport Road,2023-01-26,373.667,High
59,Airport Road,2023-01-09,475.714,High
60,Downtown,2023-01-21,535.333,High
61,Downtown,2023-01-06,427.0,High
62,Main St,2023-01-12,532.6,High
63,Main St,2023-01-18,400.333,High
64,Highway 101,2023-01-17,389.0,High
65,Main St,2023-01-23,426.833,High
66,Main St,2023-01-17,505.5,High
67,Airport Road,2023-01-22,484.6,High
68,Airport Road,2023-01-27,450.25,High
69,Highway 101,2023-01-01,378.0,High
70,Main St,2023-01-21,359.167,High
71,Highway 101,2023-01-14,545.0,High
72,Highway 101,2025-06-17,430.0,High
73,Bridge,2023-01-20,389.2,High
74,Main St,2023-01-16,459.364,High
75,Airport Road,2023-01-24,449.0,High
76,Downtown,2023-01-30,494.167,High
77,Main St,2023-01-06,478.429,High
78,Main St,2023-01-04,465.833,High
79,Bridge,2023-01-19,376.2,High
80,Downtown,2023-01-19,387.429,High
81,Bridge,2023-01-10,364.0,High
82,Main St,2023-01-28,472.6,High
83,Airport Road,2023-01-13,270.4,Normal
84,Highway 101,2023-01-28,459.25,High
85,Downtown,2023-01-16,346.667,High
86,Airport Road,2023-01-10,545.5,High
87,Main St,2023-01-22,444.111,High
88,Downtown,2023-01-09,586.143,High
89,Bridge,2023-01-29,492.714,High
90,Main St,2023-01-25,329.857,High
91,Highway 101,2023-01-16,390.4,High
92,Downtown,2023-01-03,468.6,High
93,Bridge,2023-01-17,491.8,High
94,Downtown,2023-01-18,279.667,Normal
95,Main St,2023-01-19,462.833,High
96,Main St,2023-01-11,485.4,High
97,Downtown,2023-01-08,378.0,High
98,Highway 101,2023-01-23,315.5,High
99,Main St,2023-01-15,455.0,High
100,Airport Road,2023-01-12,438.7,High
101,Highway 101,2023-01-08,463.75,High
102,Main St,2023-01-13,455.857,High
103,Downtown,2023-01-29,447.3,High
104,Downtown,2023-01-26,435.75,High
105,Bridge,2023-01-11,469.7,High
106,Bridge,2023-01-28,418.125,High
107,Downtown,2023-01-20,225.0,Normal
108,Airport Road,2023-01-08,255.333,Normal
109,Airport Road,2023-01-29,398.692,High
110,Bridge,2023-01-16,382.0,High
111,Airport Road,2023-01-28,376.75,High
112,Airport Road,2023-01-04,502.0,High
113,Airport Road,2023-01-20,385.625,High
114,Highway 101,2023-01-05,272.333,Normal
115,Main St,2023-01-03,398.875,High
116,Downtown,2023-01-14,357.333,High
117,Airport Road,2023-01-14,354.083,High
118,Highway 101,2023-01-12,447.375,High
119,Downtown,2023-01-17,592.5,High
120,Main St,2023-01-07,79.0,Normal
121,Bridge,2023-01-05,385.222,High
122,Highway 101,2023-01-03,506.833,High
123,Bridge,2023-01-26,533.625,High
124,Highway 101,2025-06-18,276.932,Normal
125,Downtown,2023-01-04,339.333,High
126,Airport Road,2023-01-16,398.4,High
127,Downtown,2023-01-23,465.714,High
128,Bridge,2023-01-21,103.0,Normal
129,Bridge,2023-01-15,207.75,Normal
